Term,Year,Campus,College,Dept,Sbjct,Crse,Sect,Crse Title,Instructor Name,Instr Grp,Crse Type,Crse Lvl,Enroll,# Resp,Resp Rate,Interact,Reflect,Connect,Collab,Contrib,Eval,Synth,Diverse,Respect,Challenge,Creative,Discuss,Feedback,Grading,Questions,Tech
Fall,2020,B3,ENGR,ECEN,ECEA,5341,200,Motors and Motor Ctrl Circts,"Mendelson, Jay",OTH,LEC,Graduate,11,1,9.1%,5.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5342,100,Pressure and Motion Sensors,"Mendelson, Jay",OTH,LEC,Graduate,14,1,7.1%,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5342,200,Pressure and Motion Sensors,"Mendelson, Jay",OTH,LEC,Graduate,14,2,14.3%,4.0,3.5,4.0,3.0,3.5,3.5,3.5,5.0,5.0,4.5,4.5,3.5,4.0,5.0,4.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5343,100,"Sensor Manufact, Process Ctrl","Mendelson, Jay",OTH,LEC,Graduate,11,2,18.2%,,4.5,5.0,,,4.0,4.0,,,5.0,5.0,,,5.0,,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5343,200,"Sensor Manufact, Process Ctrl","Mendelson, Jay",OTH,LEC,Graduate,15,2,13.3%,4.0,3.5,3.5,2.5,2.0,3.5,3.5,1.0,5.0,3.5,3.5,2.0,1.0,3.0,3.0,3.5
Fall,2020,B3,ENGR,ECEN,ECEA,5346,100,User Exp I/F Dsgn for Emb Sys,"Montgomery Jr, Bruce",INST,LEC,Graduate,13,4,30.8%,4.8,4.5,4.3,4.5,4.3,4.5,4.0,4.5,4.5,4.5,4.5,4.0,4.0,4.3,4.5,4.8
Fall,2020,B3,ENGR,ECEN,ECEA,5346,200,User Exp I/F Dsgn for Emb Sys,"Montgomery Jr, Bruce",INST,LEC,Graduate,16,1,6.3%,4.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,2.0,3.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5347,200,Rapd Prototyping Emb I/F Dsgn,"Montgomery Jr, Bruce",INST,LEC,Graduate,13,1,7.7%,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5360,100,Intro FPGA Design for Emb Sys,"Scherr, Timothy Lee",INST,LEC,Graduate,21,3,14.3%,3.0,3.3,2.7,1.7,3.0,2.7,2.3,1.3,1.5,3.0,1.7,1.3,3.0,4.7,3.7,3.3
Fall,2020,B3,ENGR,ECEN,ECEA,5360,200,Intro FPGA Design for Emb Sys,"Scherr, Timothy Lee",INST,LEC,Graduate,19,1,5.3%,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5361,200,Hardware Desc Lang FPGA Dsgn,"Scherr, Timothy Lee",INST,LEC,Graduate,14,2,14.3%,3.5,4.0,3.5,2.5,2.5,4.0,4.0,3.0,5.0,5.0,5.0,3.5,2.5,2.0,3.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5362,100,FPGA Softcore Proc and IP Acq,"Scherr, Timothy Lee",INST,LEC,Graduate,20,3,15.0%,5.0,3.7,3.7,3.0,3.7,3.7,3.3,5.0,5.0,3.7,3.3,3.7,3.7,5.0,3.0,3.7
Fall,2020,B3,ENGR,ECEN,ECEA,5362,200,FPGA Softcore Proc and IP Acq,"Scherr, Timothy Lee",INST,LEC,Graduate,11,1,9.1%,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5363,200,Building FPGA Projects,"Scherr, Timothy Lee",INST,LEC,Graduate,16,2,12.5%,2.5,3.0,3.0,3.0,2.0,2.5,3.0,2.0,2.5,3.5,4.0,2.5,3.5,3.0,2.0,3.0
Fall,2020,B3,ENGR,ECEN,ECEA,5385,100,Industrial IoT Markets and Sec,"Sluiter, David",OTH,LEC,Graduate,18,2,11.1%,4.5,5.0,5.0,4.5,4.0,5.0,5.0,4.0,4.5,4.5,5.0,4.0,3.5,5.0,4.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5386,100,"Proj Planning, Machine Lrning","Sluiter, David",OTH,LEC,Graduate,20,6,30.0%,4.0,4.2,4.3,3.2,3.2,4.2,3.8,3.4,4.0,4.8,4.5,4.0,3.8,4.8,4.0,4.5
Fall,2020,B3,ENGR,ECEN,ECEA,5386,200,"Proj Planning, Machine Lrning","Sluiter, David",OTH,LEC,Graduate,8,3,37.5%,4.0,4.3,5.0,2.5,2.5,4.0,3.7,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5387,100,Modeling Debugging Embed Sys,"Sluiter, David",OTH,LEC,Graduate,20,4,20.0%,4.3,4.5,5.0,3.3,3.3,4.0,4.3,4.7,3.7,4.5,4.0,3.8,4.3,5.0,4.5,4.5
Fall,2020,B3,ENGR,ECEN,ECEA,5387,200,Modeling Debugging Embed Sys,"Sluiter, David",OTH,LEC,Graduate,14,1,7.1%,5.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5600,200,First Order Optical Systems,"Mc Leod, Robert Royal",TTT,LEC,Graduate,8,1,12.5%,,5.0,4.0,,,5.0,5.0,,,5.0,5.0,,5.0,,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5600,200,First Order Optical Systems,"Sullivan, Amy Catharine",OTH,LEC,Graduate,8,1,12.5%,,5.0,4.0,,,5.0,5.0,,,5.0,5.0,,5.0,,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5605,100,LEDs and Semiconductor Lasers,"Gopinath, Juliet T",TTT,LEC,Graduate,3,1,33.3%,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,,5.0,5.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5607,200,Displays,"Gopinath, Juliet T",TTT,LEC,Graduate,3,1,33.3%,,4.0,5.0,,,4.0,4.0,,,,,,,,,
Fall,2020,B3,ENGR,ECEN,ECEA,5631,100,Diodes: p-n and Schottky,"Park, Wounjhang",TTT,LEC,Graduate,7,2,28.6%,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,2.5,1.0,1.5
Fall,2020,B3,ENGR,ECEN,ECEA,5631,200,Diodes: p-n and Schottky,"Park, Wounjhang",TTT,LEC,Graduate,5,2,40.0%,3.0,5.0,3.5,2.5,3.0,4.0,3.5,2.5,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5700,100,Intro to Power Electronics,"Erickson, Robert W",TTT,LEC,Graduate,26,4,15.4%,4.5,4.3,4.8,3.5,4.3,4.3,4.3,4.7,4.8,5.0,4.3,4.0,4.3,5.0,3.8,4.8
Fall,2020,B3,ENGR,ECEN,ECEA,5700,200,Intro to Power Electronics,"Erickson, Robert W",TTT,LEC,Graduate,35,3,8.6%,3.0,5.0,4.3,2.0,3.0,4.3,3.0,1.0,5.0,5.0,4.0,4.5,5.0,5.0,4.5,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5701,100,Converter Circuits,"Erickson, Robert W",TTT,LEC,Graduate,21,4,19.0%,4.5,4.5,5.0,4.0,4.7,4.3,4.7,4.0,4.5,5.0,4.5,4.8,4.8,4.8,4.3,4.5
Fall,2020,B3,ENGR,ECEN,ECEA,5701,200,Converter Circuits,"Erickson, Robert W",TTT,LEC,Graduate,22,2,9.1%,5.0,4.0,4.5,5.0,3.0,3.0,4.0,,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5702,100,Converter Control,"Erickson, Robert W",TTT,LEC,Graduate,5,1,20.0%,,5.0,3.0,1.0,,5.0,3.0,,,4.0,4.0,2.0,,5.0,,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5702,200,Converter Control,"Erickson, Robert W",TTT,LEC,Graduate,14,3,21.4%,3.7,4.7,4.3,2.5,3.7,3.3,3.3,4.0,4.5,4.5,3.7,4.3,4.7,4.3,3.3,4.7
Fall,2020,B3,ENGR,ECEN,ECEA,5703,100,Magnetics Design,"Erickson, Robert W",TTT,LEC,Graduate,32,2,6.3%,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0
Fall,2020,B3,ENGR,ECEN,ECEA,5703,200,Magnetics Design,"Erickson, Robert W",TTT,LEC,Graduate,8,2,25.0%,3.0,3.0,4.0,3.0,2.5,4.0,3.5,2.5,4.0,4.0,4.5,4.0,4.0,4.5,4.0,4.5
Fall,2020,B3,ENGR,ECEN,ECEA,5705,200,Avged-Sw Modeling/Simulation,"Maksimovic, Dragan",TTT,LEC,Graduate,4,1,25.0%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Fall,2020,B3,ENGR,ECEN,ECEA,5706,200,Tech Design-Oriented Analysis,"Maksimovic, Dragan",TTT,LEC,Graduate,9,1,11.1%,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5708,200,Current-mode Control,"Maksimovic, Dragan",TTT,LEC,Graduate,6,1,16.7%,,5.0,5.0,,,5.0,5.0,,,5.0,5.0,,5.0,5.0,,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5715,200,Power Electr Capstone Project,"Erickson, Robert W",TTT,LEC,Graduate,5,2,40.0%,4.0,4.5,5.0,3.5,3.5,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5715,200,Power Electr Capstone Project,"Maksimovic, Dragan",TTT,LEC,Graduate,5,2,40.0%,4.0,4.5,5.0,3.5,3.5,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.5,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5730,200,Intro to Battery-Manage,"Plett, Gregory L",OTH,LEC,Graduate,12,2,16.7%,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,B3,ENGR,ECEN,ECEA,5731,200,Equivalent-Circuit Cell-Model,"Plett, Gregory L",OTH,LEC,Graduate,10,2,20.0%,5.0,5.0,5.0,2.0,3.5,3.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,BD,ARPL,ARCH,ARCH,3100,11,Intermediate Architecture,"Drake, Susannah",TTT,LAB,2000-3999,21,12,57.1%,4.5,4.3,4.7,4.1,4.7,4.4,4.8,4.3,4.6,4.7,4.7,4.4,4.8,3.8,4.6,4.2
Fall,2020,BD,ARPL,ARCH,ARCH,3100,21,Intermediate Architecture,"VanGenderen, Scott",INST,LAB,2000-3999,19,13,68.4%,4.7,4.0,4.5,3.9,4.8,4.5,4.7,4.4,5.0,4.7,4.9,4.3,4.2,4.4,5.0,4.6
Fall,2020,BD,ARPL,ARCH,ARCH,3100,31,Intermediate Architecture,"Evers, Neal",INST,LAB,2000-3999,19,11,57.9%,4.9,4.6,4.8,4.2,4.8,4.5,4.8,4.5,4.6,4.6,4.8,4.8,4.5,4.5,4.7,4.9
Fall,2020,BD,ARPL,ARCH,ARCH,3100,41,Intermediate Architecture,"Bellino, Marianne",OTH,LAB,2000-3999,19,9,47.4%,4.9,4.6,4.8,4.4,4.6,4.4,4.7,4.7,5.0,4.8,4.9,4.7,4.6,4.0,4.6,4.2
Fall,2020,BD,ARPL,ARCH,ARCH,3100,51,Intermediate Architecture,"De Lange, Marcel",OTH,LAB,2000-3999,19,8,42.1%,4.6,4.8,4.9,5.0,4.4,4.9,5.0,4.3,4.6,4.9,4.9,4.8,5.0,4.1,5.0,5.0
Fall,2020,BD,ARPL,ARCH,ARCH,3114,1,Hist & Thry of Architecture 1,"Chinowsky, Paul",TTT,LEC,2000-3999,78,37,47.4%,4.6,4.5,4.3,3.2,3.8,4.3,4.5,4.6,4.9,4.6,4.0,4.1,3.9,4.6,4.8,4.7
Fall,2020,BD,ARPL,ARCH,ARCH,4010,30,Architectural Apprec & Design,"Arehart, Joseph H",INST,LEC,4000-4999,46,35,76.1%,4.8,4.6,4.5,4.8,4.7,4.4,4.7,4.4,4.9,4.7,4.7,4.8,4.7,3.8,4.8,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1002,1,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,18,6,33.3%,5.0,4.7,4.3,4.5,4.8,4.5,4.7,4.8,5.0,4.5,4.5,4.8,4.5,4.3,5.0,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1002,2,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,17,4,23.5%,3.8,3.8,3.5,3.5,4.0,3.8,4.8,4.0,4.5,4.5,5.0,5.0,5.0,4.0,4.3,4.5
Fall,2020,BD,ARPL,ENVD,ENVD,1002,3,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,18,7,38.9%,4.4,4.3,3.7,3.3,3.9,3.7,4.4,3.8,4.6,4.3,4.4,3.9,4.0,4.0,4.0,4.1
Fall,2020,BD,ARPL,ENVD,ENVD,1002,4,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,13,5,38.5%,4.2,3.2,4.4,2.4,3.2,2.8,4.2,3.4,4.8,4.2,4.4,4.4,4.0,4.0,4.2,4.6
Fall,2020,BD,ARPL,ENVD,ENVD,1002,5,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,19,1,5.3%,5.0,5.0,2.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0
Fall,2020,BD,ARPL,ENVD,ENVD,1002,6,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,17,9,52.9%,4.4,4.1,4.0,4.3,4.6,3.8,4.2,3.0,4.7,4.3,4.6,5.0,4.4,4.7,4.6,4.7
Fall,2020,BD,ARPL,ENVD,ENVD,1002,7,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,16,7,43.8%,4.3,4.0,3.7,3.4,4.0,2.8,3.0,4.2,4.4,4.0,4.3,4.0,4.1,4.0,4.3,4.0
Fall,2020,BD,ARPL,ENVD,ENVD,1002,8,Tech 1: Applications for ENVD,"Polizzi, Jade Venus",INST,SEM,1000-1999,19,11,57.9%,4.4,4.4,4.1,4.2,4.4,3.9,4.5,3.2,4.6,4.2,4.6,4.3,4.3,4.4,4.1,4.1
Fall,2020,BD,ARPL,ENVD,ENVD,1004,1,Intro Environ Design,"Bilot, Danielle Melissa",INST,LEC,1000-1999,158,62,39.2%,4.5,4.5,4.9,3.4,3.9,4.5,4.5,4.8,4.9,4.5,4.6,4.6,3.9,4.8,4.7,4.6
Fall,2020,BD,ARPL,ENVD,ENVD,1010,11,Intro to Products of Design,"Felderman, Melissa H",INST,LAB,1000-1999,17,3,17.6%,5.0,4.7,3.7,4.3,4.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.7
Fall,2020,BD,ARPL,ENVD,ENVD,1010,12,Intro to Products of Design,"Drennan, Kimberly Alaine",OTH,LAB,1000-1999,20,5,25.0%,4.8,4.4,4.2,4.6,4.6,4.4,4.8,3.8,5.0,4.8,4.8,4.5,4.5,3.8,5.0,5.0
Fall,2020,BD,ARPL,ENVD,ENVD,1010,13,Intro to Products of Design,"Roudbari, Shawhin",OTH,LAB,1000-1999,16,10,62.5%,5.0,4.8,4.7,4.7,4.6,5.0,4.7,5.0,5.0,4.8,4.8,4.8,4.4,4.4,4.6,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1010,14,Intro to Products of Design,"Bellucci, Justin Thomas",INST,LAB,1000-1999,17,3,17.6%,5.0,5.0,4.7,4.3,4.7,4.7,5.0,4.3,4.3,4.7,5.0,5.0,4.7,4.0,4.7,4.7
Fall,2020,BD,ARPL,ENVD,ENVD,1010,21,Intro to Products of Design,"Felderman, Melissa H",INST,LAB,1000-1999,19,6,31.6%,4.7,4.7,5.0,4.5,4.5,4.8,4.7,4.5,5.0,4.8,5.0,4.7,5.0,4.3,4.8,5.0
Fall,2020,BD,ARPL,ENVD,ENVD,1010,22,Intro to Products of Design,"Rooney, Robin Lynn",OTH,LAB,1000-1999,17,9,52.9%,4.8,4.6,4.6,4.4,5.0,4.8,5.0,4.1,5.0,4.8,5.0,5.0,4.6,4.6,5.0,4.6
Fall,2020,BD,ARPL,ENVD,ENVD,1010,23,Intro to Products of Design,"Khan, Azhar",INST,LAB,1000-1999,16,7,43.8%,4.9,4.1,4.7,4.4,4.1,3.9,5.0,3.6,5.0,4.5,5.0,4.7,4.9,4.6,5.0,4.9
Fall,2020,BD,ARPL,ENVD,ENVD,1010,24,Intro to Products of Design,"Roudbari, Shawhin",OTH,LAB,1000-1999,18,9,50.0%,4.8,4.7,4.9,4.6,4.4,4.6,4.9,5.0,4.9,4.8,4.8,4.6,4.2,4.2,4.7,4.3
Fall,2020,BD,ARPL,ENVD,ENVD,1020,211,Introduction to Architecture,"Johnson, Betsy Holt",INST,LAB,1000-1999,17,6,35.3%,5.0,4.8,4.3,4.7,4.7,4.0,5.0,4.2,5.0,5.0,5.0,5.0,4.6,4.8,5.0,5.0
Fall,2020,BD,ARPL,ENVD,ENVD,1020,212,Introduction to Architecture,"Evers, Neal",INST,LAB,1000-1999,20,8,40.0%,4.1,4.6,4.4,3.5,3.4,3.5,4.5,4.0,4.4,4.4,4.4,4.5,4.6,4.5,4.6,4.1
Fall,2020,BD,ARPL,ENVD,ENVD,1020,213,Introduction to Architecture,"Tabatabaie, Sara",OTH,LAB,1000-1999,16,10,62.5%,4.6,4.6,4.4,3.7,3.9,4.4,4.8,4.7,4.9,4.4,4.8,4.3,4.5,3.9,4.8,4.6
Fall,2020,BD,ARPL,ENVD,ENVD,1020,214,Introduction to Architecture,"Lavine, Rachel Ann",INST,LAB,1000-1999,19,7,36.8%,4.7,4.9,4.1,4.1,4.7,4.9,5.0,4.1,4.7,4.7,5.0,4.9,4.9,3.7,5.0,4.6
Fall,2020,BD,ARPL,ENVD,ENVD,1020,221,Introduction to Architecture,"Ehly, Jeremy",INST,LAB,1000-1999,17,9,52.9%,4.7,4.8,4.7,4.0,4.1,4.1,4.8,3.7,4.6,4.7,4.8,4.7,4.3,3.9,4.4,4.3
Fall,2020,BD,ARPL,ENVD,ENVD,1020,222,Introduction to Architecture,"Van Horne, Jesse Peter",OTH,LAB,1000-1999,15,11,73.3%,4.5,4.5,3.7,4.1,4.6,4.3,4.6,3.2,4.5,4.3,4.6,4.5,4.4,4.2,4.9,4.5
Fall,2020,BD,ARPL,ENVD,ENVD,1020,223,Introduction to Architecture,"Rooney, Robin Lynn",OTH,LAB,1000-1999,15,8,53.3%,4.4,4.6,4.6,3.9,4.5,4.0,4.8,3.9,4.8,4.8,5.0,5.0,4.9,4.5,5.0,4.6
Fall,2020,BD,ARPL,ENVD,ENVD,1020,224,Introduction to Architecture,"Anderson, John",INST,LAB,1000-1999,20,14,70.0%,4.6,4.3,4.1,3.6,4.6,3.9,4.7,4.4,4.6,4.8,4.7,4.6,4.5,3.7,4.6,4.4
Fall,2020,BD,ARPL,ENVD,ENVD,1022,2,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,20,9,45.0%,4.0,4.0,3.7,3.1,3.9,3.7,4.7,3.6,4.7,4.1,4.6,4.0,3.9,4.3,4.3,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1022,3,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,22,12,54.5%,4.7,4.1,3.6,3.2,4.1,3.4,4.3,3.1,4.8,4.2,4.8,4.7,4.3,4.1,4.4,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1022,4,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,19,5,26.3%,4.4,5.0,4.4,3.5,4.2,3.4,4.8,3.4,4.4,4.0,4.8,4.8,4.6,5.0,4.8,5.0
Fall,2020,BD,ARPL,ENVD,ENVD,1022,5,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,19,11,57.9%,4.8,4.3,4.0,4.0,4.2,3.9,4.6,3.7,4.8,4.7,4.7,4.6,4.5,4.7,4.7,4.9
Fall,2020,BD,ARPL,ENVD,ENVD,1022,12,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,18,8,44.4%,4.6,4.1,4.1,4.6,4.4,4.7,4.8,4.0,5.0,4.5,4.8,4.8,3.9,5.0,5.0,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1022,13,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,19,6,31.6%,3.8,3.8,3.3,3.2,3.7,2.6,3.5,3.2,4.2,3.5,4.2,4.0,3.7,4.3,4.0,4.3
Fall,2020,BD,ARPL,ENVD,ENVD,1022,15,Tech 3: Apps for ENVD,"Beach, Alexandra Mariel Coit",INST,SEM,1000-1999,15,7,46.7%,4.1,3.7,3.4,3.6,3.7,3.5,4.6,3.4,4.7,3.9,4.6,4.4,4.0,4.6,4.4,4.4
Fall,2020,BD,ARPL,ENVD,ENVD,1024,1,History: Built Environment,"Polizzi, Jade Venus",INST,LEC,1000-1999,51,24,47.1%,4.6,4.4,4.5,4.2,4.4,4.3,4.4,4.1,4.7,4.6,4.4,4.7,4.3,4.8,4.9,4.5
Fall,2020,BD,ARPL,ENVD,ENVD,1110,11,Fundamentals of EPOD,"De Lange, Marcel",OTH,LAB,1000-1999,15,9,60.0%,4.6,4.3,4.6,3.8,4.1,4.1,4.6,4.2,4.4,4.4,4.6,4.5,3.8,3.1,4.4,4.5
Fall,2020,BD,ARPL,ENVD,ENVD,1110,13,Fundamentals of EPOD,"Lavine, Rachel Ann",INST,LAB,1000-1999,13,4,30.8%,5.0,5.0,5.0,4.8,5.0,4.5,5.0,4.8,5.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0
Fall,2020,BD,ARPL,ENVD,ENVD,1120,211,Fundamentals of Architecture,"Bellino, Marianne",OTH,LAB,1000-1999,18,12,66.7%,4.8,4.5,4.2,4.3,4.8,4.6,4.8,3.9,4.8,4.7,4.8,4.9,4.8,4.3,4.8,4.4
Fall,2020,BD,ARPL,ENVD,ENVD,1120,212,Fundamentals of Architecture,"Polizzi, Jade Venus",INST,LAB,1000-1999,19,10,52.6%,4.8,4.5,4.2,4.1,4.2,4.3,4.6,4.1,4.4,4.4,4.8,4.2,4.1,4.1,4.3,4.4
Fall,2020,BD,ARPL,ENVD,ENVD,1120,213,Fundamentals of Architecture,"Drennan, Kimberly Alaine",OTH,LAB,1000-1999,19,9,47.4%,4.9,4.8,4.3,4.7,4.7,4.4,4.9,4.8,5.0,4.9,5.0,4.7,4.7,4.6,4.1,4.8
Fall,2020,BD,ARPL,ENVD,ENVD,1120,214,Fundamentals of Architecture,"Hudson, Alicja Vernoica",OTH,LAB,1000-1999,19,10,52.6%,4.7,4.0,4.1,4.1,3.8,4.0,4.4,3.2,3.8,4.0,4.5,3.8,3.1,3.2,3.9,3.6
Fall,2020,BD,ARPL,ENVD,ENVD,1120,215,Fundamentals of Architecture,"Anderson, John",INST,LAB,1000-1999,16,7,43.8%,4.7,4.7,4.6,4.3,4.6,4.3,4.9,4.3,4.9,4.7,5.0,4.6,4.6,4.6,4.7,5.0
